artist,title,genre,cluster,track_index,nn_distance
gorgon_city,money,tech_house_deep,21,88,7.053416160294549
alberto_segador,this_is_house,tech_house_bouncy,21,89,7.106356796232536
alex_parera,roll_the_night,groovy_bouncy,21,90,7.3810311113547025
philip_bader_sascha_braemer,heat_original_mix,groovy_tribal,21,91,6.730655861021129
milk_sugar,tell_me_why_ben_delay_vs_2014_re_fix,house_groovy,21,92,7.217251829283352
dirty_doering_sascha_cawa,curry_original_mix,house_euphoric,21,93,7.0570949711126785
space_echo,soul_power,tech_house_new,21,94,7.549428061847149
claude_vonstroke,make_a_cake,tech_house_trippy,21,95,8.196082916847658
ridney,chopped_that_sucker_in_20_original_mix,groovy_bouncy,21,96,7.404550417833474
black_caviar,thrill_seeker,tech_house_new,21,97,8.247974349087762
daniel_orpi,raw_sound_extended_mix,tech_house_bouncy,21,98,6.447263604314817
steve_darko,east_to_west_original_mix,vibe_th_darko,21,99,8.350689684523267
format_b,atomizer,vibe_th_format,21,100,7.880891527580509
reba_ke,dear_stalker_feat_born_i_music_club_mix,vibe_h_kinky,21,101,0.0035719633056827287
rebuke_ft_born_i_music,dear_stalker_club_mix,vibe_h_kinky,21,102,7.780200227227005
tom_novy,funk_soul_brother_original_mix,deep_house_funky,21,103,8.207207660730534
elliot_adamson,still_workina,tech_house_trippy,21,104,9.102005377844488
kevin_knapp_baby_luck,cute_original_mix,vibe_th_walker,21,105,8.16143451545532
david_penn,yeah_yeah,tech_house_groovy,21,106,7.390053412107309
format_b,whippp,vibe_th_format,21,107,6.724684568015199
camelphat,make_em_dance,vibe_h_phat,21,108,1.9719631342569985
camelphat,make_em_dance_original_mix,tech_house_bouncy,21,109,7.865476813784757
german_brigante,look_it_s_me_richy_ahmed_remix,techno_dark,21,110,8.538215864066064
wise_d_kobe,viper_original_mix,tech_house_trippy,21,111,8.55098684577546
miguel_bastida,the_bug_extended_mix,tech_house_banger,21,112,8.360629158211514
wade,disco_breakin,tech_house_dirty,21,113,8.422455642461536
tiga,woke_andrea_oliva_remix,tech_house_banger,21,114,8.989837622261224
format_b,not_enufff_original_mix,vibe_th_format,21,115,9.201264060596992
treasure_fingers_option4,bar_97_original_mix,house_wobble,21,116,8.983340102403345
marquis_hawkes,towerblock_boogie,house_groovy,21,117,9.57063037950281
wade,pauw,tech_house_bouncy,21,118,9.63361861418544
low_steppa,one_day,house_groovy,21,119,9.673053580641913
rebuke,jump_ship,vibe_h_kinky,21,120,9.546226604573032
kink,diversion,vibe_h_kinky,21,121,10.05206620095384
kolombo,throw_your_hands_original_mix,tech_house_banger,21,122,8.110121889532616
